메뉴명,대분류,중분류,내용량,주성분,원재료명 및 함량,알러지 주의,나트륨,탄수화물,당류,지방,트랜스지방,포화지방,콜레스테롤,단백질,영양성분 기준치 대비 나트륨,영양성분 기준치 대비 탄수화물,영양성분 기준치 대비 당류,영양성분 기준치 대비 지방,영양성분 기준치 대비 트랜스지방,영양성분 기준치 대비 포화지방,영양성분 기준치 대비 콜레스테롤,영양성분 기준치 대비 단백질,식품의 유형,생산자 및 소재지,메뉴구성,식이섬유,영양성분 기준치 대비 식이섬유
핫 닭 퐁듀 샐러드 M,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(4주),"총 내용량 219g, 드레싱44kcal포함 총 185kcal","분쇄가공육제품11.75%(닭가슴살85.28%),에멘탈퐁듀소스6.85%,맵짱소스4.23%","원재료명 및 함량 : 신선편의식품[프릴아이스(국산),적근대(국산),케일,라디치오],분쇄가공육제품[닭가슴살(국산),소스{혼합간장(탈지대두:외국산)},복합조미식품1,설탕,전분],시트러스유자드레싱[유자당절임(유자:국산), 올리고당, 발효식초(이탈리아산), 카놀라유, 감귤농축액],과채가공품(파인애플,설탕,구연산),그린빈스,방울토마토,브로콜리,에멘탈퐁듀소스(자연치즈,유크림,기타가공품,산도조절제,혼합분유),컬리플라워,맵짱소스
[우유, 대두, 밀, 토마토, 아황산류, 닭고기,쇠고기 함유]
*이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 호두,, 오징어, 조개류(굴·전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 토마토, 아황산류, 닭고기,쇠고기 함유]",457mg,18g,14g,9g,0g,3.9g,27mg,9g,23%,6%,14%,16%,-%,26%,9%,16%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,,,
두툼 떡갈비 정식,도시락/덮밥,[New] 정성한상,"총 내용량 394g, 635kcal","떡갈비, 우엉채조림 / 고구마맛탕, 애호박, 볶음김치, 모듬야채장아찌 / 흑미밥으로 구성된 도시락","원재료명 및 함량 : 쌀(국산), 분쇄가공육제품[돼지고기(국산), 흑설탕, 두류가공품(중국산), 양념소스NM, 옥수수전분], 김치[절임배추(배추:국산), 설탕, 무, 멸치액젓, 고춧가루(국산)], 애호박, 절임식품(무, 오이, 양파, 양조간장, 설탕), 고구마, 조림류1, 조림류2, 소스1, 양파, 찰흑미, 콩기름, 당류가공품, 홍고추, 은행, 마늘, 참기름, 소스2, 볶음흑임자, 소스3, 정제소금, 볶음참깨, 정제수
[우유, 땅콩, 대두, 밀, 돼지고기, 호두, 쇠고기 함유]
* 이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 아황산류, 닭고기, 오징어, 조개류(굴·전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 땅콩, 대두, 밀, 돼지고기, 호두, 쇠고기 함유]",1100mg,103g,11g,17g,0g,4.7g,15mg,18g,55%,32%,11%,31%,-%,31%,5%,33%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
산나물 비빔밥,도시락/덮밥,[New] 정성한상,"총 내용량 375g, 575kcal","도라지채나물, 생취나물, 건가지나물 / 두부구이, 청포묵, 당근채, 우엉고추장 / 찰보리밥으로 구성된 도시락 (소포장 참기름 포함)","원재료명 및 함량 : 쌀(국산), 두부[대두(외국산), 조재해수염화마그네슘, 현미유, 올리브유], 건가지나물[건가지(중국산), 물엿, 콩기름(대두유:외국산), 한식간장, 마늘], 묵류(녹두전분, 정제소금), 도라지나물(도라지(중국산), 콩기름, 마늘, 가공소금, 설탕), 생취나물무침(취나물(국산), 마늘, 가공소금, 설탕, 참기름), 소스1, 당근, 찰보리, 콩기름, 분쇄가공육제품, 고소한참기름, 조림류1, 양파, 참기름, 볶음참깨, 홍고추, 소스2, 양조간장, 조미김, 정제소금, 가공소금, 정제수
[우유, 대두, 밀, 쇠고기 함유]
* 이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 오징어, 조개류(굴·전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 쇠고기 함유]",1040mg,90g,5g,17g,0g,3.3g,5mg,16g,52%,28%,5%,31%,-%,22%,2%,29%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
소 불고기 전골 정식,도시락/덮밥,[New] 정성한상,"총 내용량 519g, 600kcal","아삭한 숙주와 알배추, 두부, 단호박구이, 고추튀김을 곁들인 달큰한 소불고기 전골 / 기장밥으로 구성된 도시락","원재료명 및 함량 : 쌀(국산), 두부[대두(외국산), 조제해수염화마그네숨, 현미유, 올리브유], 양념육[소고기/앞다리(미국산), 소불고기양념소스{양조간장(탈지대두:외국산)}], 숙주, 알배추, 기타가공품, 단호박, 소스1, 찰기장, 대파, 콩기름, 들기름, 냉동대파, 소스2, 양파, 홍고추, 젤라틴, 소스3, 볶음참깨, 정제소금, 정제수
[우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류 함유]
* 이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 아황산류, 호두, 오징어, 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류 함유]",960mg,87g,4g,18g,0.5g,4.2g,40mg,23g,48%,27%,4%,33%,-%,28%,13%,42%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,(별도로 물을 넣지 않아도 전자레인지 조리 후 고형 육수가 풀어지며 자작한 육수가 됩니다.),,
숯불 닭구이 정식,도시락/덮밥,[New] 정성한상,"총 내용량 407g, 630kcal","매콤한 숯불닭구이&깻잎채 / 고구마맛탕, 콩나물무침, 백김치, 콘샐러드 / 기장밥으로 구성된 도시락","원재료명 및 함량 : 숯불닭갈비[닭고기/안심(국산), 소스{토마토케찹(토마토페이스트:외국산)}, 기타주류, 물엿, 설탕], 쌀(국산), 김치[백맛묵은지{절임배추(배추:국산)}, 대파(중국산), 콩기름, 설탕, 마늘], 즉석섭취식품[스위트콘(태국산), 양파(중국산), 설탕, 당근, 샐러드베이스], 콩나물, 고구마, 조림류, 양파, 찰기장, 소스1, 양배추, 청상추, 콩기름, 당류가공품, 과채가공품, 깻잎, 당근, 참기름, 소스2, 복합조미식품, 볶음흑임자, 볶음참깨, 고춧가루, 양조간장, 혼합제제(덱스트린, 변성전분, 잔탄검, 구아검), 정제소금, 정제수
[알류(계란), 우유, 땅콩, 대두, 밀, 새우, 돼지고기, 토마토, 호두, 닭고기, 쇠고기, 조개류(굴) 함유]
* 이 제품은 메밀, 고등어, 게, 복숭아, 아황산류, 오징어, 조개류(전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 땅콩, 대두, 밀, 새우, 돼지고기, 토마토, 호두, 닭고기, 쇠고기, 조개류(굴) 함유]",950mg,99g,16g,15g,0g,2.9g,35mg,25g,48%,31%,16%,28%,-%,19%,12%,45%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
큐브 스테이크 정식,도시락/덮밥,[New] 정성한상,"총 내용량 437g, 615kcal","큐브스테이크, 매쉬드포테이토, 2가지 색의 파프리카 / 숙주팽이버섯볶음, 닭가슴살 소세지, 볶음깍두기, 유자단무지&양배추채 / 발아현미밥으로 구성된 도시락","원재료명 및 함량 : 쌀(국산), 분쇄가공육제품[돈후지슬라이스(돼지고기:국산), 소스{혼합간장(탈지대두<외국산:미국산, 중국산>)}, 설탕, 물엿, 옥수수전분], 소시지[닭고기(닭가슴살:국산), 혼합제제1{변성전분(타피오카초산), 덱스트린}, 설탕, 복합조미식품1(정제소금:중국산), 정제소금], 김치(우리땅깍두기, 볶음깍두기용양념, 옥배유, 젖산), 즉석섭취식품, 숙주, 소스1, 팽이버섯, 양송이버섯, 양파, 절임식품, 양배추, 소스2, 발아현미, 황파프리카, 청피망, 과채가공품, 참기름, 콩기름, 소스3, 볶음참깨, 소스4, 파슬리, 양조간장, 정제수
[알류(계란), 우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류(굴) 함유]
* 이 제품은 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 아황산류, 호두, 오징어, 조개류(전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류(굴) 함유]",1080mg,98g,21g,15g,0g,3.9g,40mg,22g,54%,30%,21%,28%,-%,26%,13%,40%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
두툼 떡갈비 정식,도시락/덮밥,정성한상Plus,"총 내용량 394g, 635kcal","떡갈비, 우엉채조림 / 고구마맛탕, 애호박, 볶음김치, 모듬야채장아찌 / 흑미밥으로 구성된 도시락","원재료명 및 함량 : 쌀(국산), 분쇄가공육제품[돼지고기(국산), 흑설탕, 두류가공품(중국산), 양념소스NM, 옥수수전분], 김치[절임배추(배추:국산), 설탕, 무, 멸치액젓, 고춧가루(국산)], 애호박, 절임식품(무, 오이, 양파, 양조간장, 설탕), 고구마, 조림류1, 조림류2, 소스1, 양파, 찰흑미, 콩기름, 당류가공품, 홍고추, 은행, 마늘, 참기름, 소스2, 볶음흑임자, 소스3, 정제소금, 볶음참깨, 정제수
[우유, 땅콩, 대두, 밀, 돼지고기, 호두, 쇠고기 함유]
* 이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 아황산류, 닭고기, 오징어, 조개류(굴·전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 땅콩, 대두, 밀, 돼지고기, 호두, 쇠고기 함유]",1100mg,103g,11g,17g,0g,4.7g,15mg,18g,55%,32%,11%,31%,-%,31%,5%,33%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
산나물 비빔밥,도시락/덮밥,정성한상Plus,"총 내용량 375g, 575kcal","도라지채나물, 생취나물, 건가지나물 / 두부구이, 청포묵, 당근채, 우엉고추장 / 찰보리밥으로 구성된 도시락 (소포장 참기름 포함)","원재료명 및 함량 : 쌀(국산), 두부[대두(외국산), 조재해수염화마그네슘, 현미유, 올리브유], 건가지나물[건가지(중국산), 물엿, 콩기름(대두유:외국산), 한식간장, 마늘], 묵류(녹두전분, 정제소금), 도라지나물(도라지(중국산), 콩기름, 마늘, 가공소금, 설탕), 생취나물무침(취나물(국산), 마늘, 가공소금, 설탕, 참기름), 소스1, 당근, 찰보리, 콩기름, 분쇄가공육제품, 고소한참기름, 조림류1, 양파, 참기름, 볶음참깨, 홍고추, 소스2, 양조간장, 조미김, 정제소금, 가공소금, 정제수
[우유, 대두, 밀, 쇠고기 함유]
* 이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 오징어, 조개류(굴·전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 쇠고기 함유]",1040mg,90g,5g,17g,0g,3.3g,5mg,16g,52%,28%,5%,31%,-%,22%,2%,29%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
소 불고기 전골 정식,도시락/덮밥,정성한상Plus,"총 내용량 519g, 600kcal","아삭한 숙주와 알배추, 두부, 단호박구이, 고추튀김을 곁들인 달큰한 소불고기 전골 / 기장밥으로 구성된 도시락","원재료명 및 함량 : 쌀(국산), 두부[대두(외국산), 조제해수염화마그네숨, 현미유, 올리브유], 양념육[소고기/앞다리(미국산), 소불고기양념소스{양조간장(탈지대두:외국산)}], 숙주, 알배추, 기타가공품, 단호박, 소스1, 찰기장, 대파, 콩기름, 들기름, 냉동대파, 소스2, 양파, 홍고추, 젤라틴, 소스3, 볶음참깨, 정제소금, 정제수
[우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류 함유]
* 이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 아황산류, 호두, 오징어, 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류 함유]",960mg,87g,4g,18g,0.5g,4.2g,40mg,23g,48%,27%,4%,33%,-%,28%,13%,42%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,(별도로 물을 넣지 않아도 전자레인지 조리 후 고형 육수가 풀어지며 자작한 육수가 됩니다.),,
숯불 닭구이 정식,도시락/덮밥,정성한상Plus,"총 내용량 407g, 630kcal","매콤한 숯불닭구이&깻잎채 / 고구마맛탕, 콩나물무침, 백김치, 콘샐러드 / 기장밥으로 구성된 도시락","원재료명 및 함량 : 숯불닭갈비[닭고기/안심(국산), 소스{토마토케찹(토마토페이스트:외국산)}, 기타주류, 물엿, 설탕], 쌀(국산), 김치[백맛묵은지{절임배추(배추:국산)}, 대파(중국산), 콩기름, 설탕, 마늘], 즉석섭취식품[스위트콘(태국산), 양파(중국산), 설탕, 당근, 샐러드베이스], 콩나물, 고구마, 조림류, 양파, 찰기장, 소스1, 양배추, 청상추, 콩기름, 당류가공품, 과채가공품, 깻잎, 당근, 참기름, 소스2, 복합조미식품, 볶음흑임자, 볶음참깨, 고춧가루, 양조간장, 혼합제제(덱스트린, 변성전분, 잔탄검, 구아검), 정제소금, 정제수
[알류(계란), 우유, 땅콩, 대두, 밀, 새우, 돼지고기, 토마토, 호두, 닭고기, 쇠고기, 조개류(굴) 함유]
* 이 제품은 메밀, 고등어, 게, 복숭아, 아황산류, 오징어, 조개류(전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 땅콩, 대두, 밀, 새우, 돼지고기, 토마토, 호두, 닭고기, 쇠고기, 조개류(굴) 함유]",950mg,99g,16g,15g,0g,2.9g,35mg,25g,48%,31%,16%,28%,-%,19%,12%,45%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
큐브 스테이크 정식,도시락/덮밥,정성한상Plus,"총 내용량 437g, 615kcal","큐브스테이크, 매쉬드포테이토, 2가지 색의 파프리카 / 숙주팽이버섯볶음, 닭가슴살 소세지, 볶음깍두기, 유자단무지&양배추채 / 발아현미밥으로 구성된 도시락","원재료명 및 함량 : 쌀(국산), 분쇄가공육제품[돈후지슬라이스(돼지고기:국산), 소스{혼합간장(탈지대두<외국산:미국산, 중국산>)}, 설탕, 물엿, 옥수수전분], 소시지[닭고기(닭가슴살:국산), 혼합제제1{변성전분(타피오카초산), 덱스트린}, 설탕, 복합조미식품1(정제소금:중국산), 정제소금], 김치(우리땅깍두기, 볶음깍두기용양념, 옥배유, 젖산), 즉석섭취식품, 숙주, 소스1, 팽이버섯, 양송이버섯, 양파, 절임식품, 양배추, 소스2, 발아현미, 황파프리카, 청피망, 과채가공품, 참기름, 콩기름, 소스3, 볶음참깨, 소스4, 파슬리, 양조간장, 정제수
[알류(계란), 우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류(굴) 함유]
* 이 제품은 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 아황산류, 호두, 오징어, 조개류(전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류(굴) 함유]",1080mg,98g,21g,15g,0g,3.9g,40mg,22g,54%,30%,21%,28%,-%,26%,13%,40%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
부드러운 마파두부 세트,메디케어,디자인밀 당뇨식단,"총 내용량 460g, 드레싱 20kcal포함 총 520kcal",가공두부 13.9%,"원재료명 및 함량 : 정제수, 가공두부[가공두부{대두(국산), 혼합제제(변성전분, 말토덱스트린), 혼합제제(조제해수염화마그네슘, 현미유, 올리브유), 천일염구운소금(국산)}, 대두유{대두(외국산:미국, 브라질, 파라과이 등)}], 청경채(국내산), 중화마파두부양념소스[물엿, 돼지고기(국산), 고추기름-1{미강유(태국산), 고추기름베이스(미강유(태국산), 고춧가루(중국산))}, 양조간장, 양파], 현미(국산), 방울토마토, 홍피망, 늘보리, 올리브유발사믹드레싱, 냉동표고버섯, 애느타리버섯, 그린치커리, 쥐눈이콩, 닭가슴살, 호박, 양상추, 난소화성말토덱스트린, 채종유, 냉동양파, 소스, 라디치오, 자연치즈, 홍고추, 다진마늘, 미림, 혼합제제(변성전분, 말토덱스트린), 부추, 청양고추
[우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류(바지락) 함유]
* 이 제품은 알류, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 아황산류, 호두, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류(바지락) 함유]",920mg,72g,13g,19g,0g,3.7g,20mg,23g,46%,22%,13%,35%,-%,25%,7%,42%,당뇨환자용 식단형 식품,"풀무원 건강생활㈜/충북 증평군 도안면 원명로 35
유통전문판매원 : 풀무원식품㈜/충북 음성군 대소면 삼양로 730-27","메뉴구성: 늘보리쥐눈이콩밥/체다치즈샐러드/올리브발사믹드레싱(15g, 20kcal) /청경채볶음/부드러운마파두부",18g,72%
삼삼 소 불고기 세트,메디케어,디자인밀 당뇨식단,"총 내용량 395g, 드레싱 50kcal포함 총 570kcal",소고기 12.4%,"원재료명 및 함량 : 정제수, 양념육류[소고기(호주산), 불고기양념장{양조간장(탈지대두(외국산:인도, 미국, 중국), 산분해간장(탈지대두(외국산:인도, 미국, 중국)}], 더부드러운데친무청시래기(국산), 현미(국산), 양파, 당근, 크리미시저드레싱, 기장, 그린치커리, 렌틸콩, 대파, 양상추, 난소화성말토덱스트린, 채종유, 부추, 양조간장, 래디쉬, 다다기오이, 다진마늘, 라디치오, 참기름, 쪽파, 들깨가루, 연두순, 혼합제제(변성전분, 말토덱스트린), 트루스위트알룰로스
[알류(계란), 우유, 대두, 밀, 쇠고기 함유]
* 이 제품은 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 대두, 밀, 쇠고기 함유]",770mg,69g,12g,25g,0.5g,5.6g,40mg,23g,39%,21%,12%,46%,-%,37%,13%,42%,당뇨환자용 식단형 식품,"풀무원 건강생활㈜/충북 증평군 도안면 원명로 35
유통전문판매원 : 풀무원식품㈜/충북 음성군 대소면 삼양로 730-27","메뉴구성: 기장렌틸콩밥/래디쉬샐러드/크리미시저드레싱(15g, 50kcal)/들깨시래기나물무침/삼삼소불고기",18g,72%
